solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;cap61;120;0,11;0;0,0;200708,579;200708,579;66;815;1615;66;815;1615;0,0;12685000,0;0,0;200708,579;200708,579;0,1;;;2;2;64;4;8;;
GUROBI;cap61;120;0,1;0;1,0;200708,5789964;200708,5789964;66;816;1616;66;815;1615;149038,05;2549624,74;149038,05;200708,579;200708,579;0,0;;;8;2;63;;;4;
CBC;cap61;120;0,44;0;68;200708,5789962791;200708,5789962791;66;816;1616;66;815;1615;183526,65;228845,55;183526,65;;;;;;;;;;;;
CPLEX;cap61;300;0,04;0;0,0;200708,579;200708,579;66;815;1615;66;815;1615;0,0;12685000,0;0,0;200708,579;200708,579;0,04;;;2;2;64;4;8;;
GUROBI;cap61;300;0,03;0;1,0;200708,5789964;200708,5789964;66;816;1616;66;815;1615;149038,05;2549624,74;149038,05;200708,579;200708,579;0,0;;;8;2;63;;;4;
CBC;cap61;300;0,42;0;68;200708,5789962791;200708,5789962791;66;816;1616;66;815;1615;183526,65;228845,55;183526,65;;;;;;;;;;;;
CPLEX;cap61;600;0,05;0;0,0;200708,579;200708,579;66;815;1615;66;815;1615;0,0;12685000,0;0,0;200708,579;200708,579;0,04;;;2;2;64;4;8;;
GUROBI;cap61;600;0,04;0;1,0;200708,5789964;200708,5789964;66;816;1616;66;815;1615;149038,05;2549624,74;149038,05;200708,579;200708,579;0,0;;;8;2;63;;;4;
CBC;cap61;600;0,42;0;68;200708,5789962791;200708,5789962791;66;816;1616;66;815;1615;183526,65;228845,55;183526,65;;;;;;;;;;;;
CPLEX;cap62;120;0,05;0;0,0;233796,54661;233796,54661;66;815;1615;66;815;1615;0,0;12760000,0;0,0;233796,5466;233796,5466;0,05;;;3;10;75;3;10;;
