solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;cap61;120;0,09;0;0,0;202207,925;202207,925;66;815;1615;55;195;368;0,0;14643100,0;0,0;424,0;202207,925;0,09;37;25;2;13;1;3;13;;2
GUROBI;cap61;120;0,05;0;1,0;202207,9250001;202207,9250001;866;1616;3216;66;815;1615;149038,05;515208,038;149038,05;202207,925;202207,925;0,0;16;7;;3;;;5;7;
CBC;cap61;120;0,11;0;0;202207,9249999961;202207,9249999961;866;1616;3216;66;815;1615;;;;;;;;;;;;;;;
CPLEX;cap61;300;0,24;0;0,0;202207,925;202207,925;66;815;1615;55;195;368;0,0;14643100,0;0,0;424,0;202207,925;0,24;37;25;2;13;1;3;13;;2
GUROBI;cap61;300;0,05;0;1,0;202207,9250001;202207,9250001;866;1616;3216;66;815;1615;149038,05;515208,038;149038,05;202207,925;202207,925;0,0;16;7;;3;;;5;7;
CBC;cap61;300;0,1;0;0;202207,9249999961;202207,9249999961;866;1616;3216;66;815;1615;;;;;;;;;;;;;;;
CPLEX;cap61;600;0,35;0;0,0;202207,925;202207,925;66;815;1615;55;195;368;0,0;14643100,0;0,0;424,0;202207,925;0,34;37;25;2;13;1;3;13;;2
GUROBI;cap61;600;0,05;0;1,0;202207,9250001;202207,9250001;866;1616;3216;66;815;1615;149038,05;515208,038;149038,05;202207,925;202207,925;0,0;16;7;;3;;;5;7;
CBC;cap61;600;0,1;0;0;202207,9249999961;202207,9249999961;866;1616;3216;66;815;1615;;;;;;;;;;;;;;;
CPLEX;cap62;120;0,15;0;0,0;236585,025;236585,025;66;815;1615;66;534;1053;0,0;14718100,0;0,0;236585,025;236585,025;0,15;56;34;5;13;1;1;19;;1
GUROBI;cap62;120;0,06;0;1,0;236585,0250001;236585,0250001;866;1616;3216;66;815;1615;165808,667;590208,038;165808,667;236585,025;236585,025;0,0;20;13;;7;;;6;5;
CBC;cap62;120;0,09;0;0;236585,0249999997;236585,0249999997;866;1616;3216;66;815;1615;;;;;;;;;;;;;;;
CPLEX;cap62;300;0,13;0;0,0;236585,025;236585,025;66;815;1615;66;534;1053;0,0;14718100,0;0,0;236585,025;236585,025;0,13;56;34;5;13;1;1;19;;1
GUROBI;cap62;300;0,07;0;1,0;236585,0250001;236585,0250001;866;1616;3216;66;815;1615;165808,667;590208,038;165808,667;236585,025;236585,025;0,0;20;13;;7;;;6;5;
CBC;cap62;300;0,09;0;0;236585,0249999997;236585,0249999997;866;1616;3216;66;815;1615;;;;;;;;;;;;;;;
CPLEX;cap62;600;0,15;0;0,0;236585,025;236585,025;66;815;1615;66;534;1053;0,0;14718100,0;0,0;236585,025;236585,025;0,15;56;34;5;13;1;1;19;;1
GUROBI;cap62;600;0,06;0;1,0;236585,0250001;236585,0250001;866;1616;3216;66;815;1615;165808,667;590208,038;165808,667;236585,025;236585,025;0,0;20;13;;7;;;6;5;
CBC;cap62;600;0,09;0;0;236585,0249999997;236585,0249999997;866;1616;3216;66;815;1615;;;;;;;;;;;;;;;
CPLEX;cap63;120;0,23;0;0,0;266585,025;266585,025;66;815;1615;66;420;825;0,0;14793100,0;0,0;266585,025;266585,025;0,23;60;35;6;6;1;;21;;3
GUROBI;cap63;120;0,09;0;1,0;266585,0250001;266585,0250001;866;1616;3216;66;815;1615;182495,333;665208,038;182495,333;266585,025;266585,025;0,0;60;29;;12;;;9;15;
CBC;cap63;120;0,13;0;0;266585,0249999997;266585,0249999997;866;1616;3216;66;815;1615;;;;;;;;;;;;;;;
CPLEX;cap63;300;0,11;0;0,0;266585,025;266585,025;66;815;1615;66;420;825;0,0;14793100,0;0,0;266585,025;266585,025;0,1;60;35;6;6;1;;21;;3
GUROBI;cap63;300;0,1;0;1,0;266585,0250001;266585,0250001;866;1616;3216;66;815;1615;182495,333;665208,038;182495,333;266585,025;266585,025;0,0;60;29;;12;;;9;15;
CBC;cap63;300;0,13;0;0;266585,0249999997;266585,0249999997;866;1616;3216;66;815;1615;;;;;;;;;;;;;;;
CPLEX;cap63;600;0,11;0;0,0;266585,025;266585,025;66;815;1615;66;420;825;0,0;14793100,0;0,0;266585,025;266585,025;0,11;60;35;6;6;1;;21;;3
GUROBI;cap63;600;0,09;0;1,0;266585,0250001;266585,0250001;866;1616;3216;66;815;1615;182495,333;665208,038;182495,333;266585,025;266585,025;0,0;60;29;;12;;;9;15;
CBC;cap63;600;0,12;0;0;266585,0249999997;266585,0249999997;866;1616;3216;66;815;1615;;;;;;;;;;;;;;;
CPLEX;cap64;120;0,17;0;0,0;311574,1125;311574,1125;66;815;1615;66;439;863;0,0;14905600,0;0,0;311574,1125;311574,1125;0,17;66;45;;7;1;1;29;;28
GUROBI;cap64;120;0,18;0;53,0;311574,1125;311574,1125;866;1616;3216;66;815;1615;207414,413;777708,038;207414,413;305237,51;311585,025;0,0;69;38;;8;;;12;12;
CBC;cap64;120;0,36;0;10;311574,1125000046;311574,1125000046;866;1616;3216;66;815;1615;305884,59;332451,01;305884,59;;;;;;;;;;;;
