solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;toy.dzn;600;0,08;0;0,0;6757,0;6757,0;38;56;132;38;56;132;0,0;16395,0;0,0;26,0;6757,0;0,08;1;3;7;;;;;
GUROBI;toy.dzn;600;0,59;0;1,0;6757,0;6757,0;50;68;156;38;56;132;6335,2;10176,0;6335,2;6757,0;6757,0;0,0;1;1;3;;;;1;
CBC;toy.dzn;600;0,06;0;0;6757,0;6757,0;50;68;156;50;68;156;;;;;;;;;;;;;;
CPLEX;toy.dzn;1800;0,02;0;0,0;6757,0;6757,0;38;56;132;38;56;132;0,0;16395,0;0,0;26,0;6757,0;0,02;1;3;7;;;;;
GUROBI;toy.dzn;1800;0,0;0;1,0;6757,0;6757,0;50;68;156;38;56;132;6335,2;10176,0;6335,2;6757,0;6757,0;0,0;1;1;3;;;;1;
CBC;toy.dzn;1800;0,06;0;0;6757,0;6757,0;50;68;156;50;68;156;;;;;;;;;;;;;;
CPLEX;toy.dzn;3600;0,02;0;0,0;6757,0;6757,0;38;56;132;38;56;132;0,0;16395,0;0,0;26,0;6757,0;0,02;1;3;7;;;;;
GUROBI;toy.dzn;3600;0,02;0;1,0;6757,0;6757,0;50;68;156;38;56;132;6335,2;10176,0;6335,2;6757,0;6757,0;0,0;1;1;3;;;;1;
CBC;toy.dzn;3600;0,05;0;0;6757,0;6757,0;50;68;156;50;68;156;;;;;;;;;;;;;;
CPLEX;wlp01.dzn;600;20,25;0;1443,0;28716,0;28713,709091;38465;24950;88150;38465;24950;88150;0,0;105872,0;0,0;28503,211;29960,0;6,33;2;15;205;9;3;;;3
GUROBI;wlp01.dzn;600;13,98;0;355,0;28716,0;28716,0;57615;44100;126450;38465;24950;88150;26155,5679;42904,0;26155,5679;28482,244;29519,0;9,0;;1;128;5;63;;11;
CBC;wlp01.dzn;600;600,63;1,0789779043913297;2496;28784,0;28473,427;57615;44100;126450;57615;44100;126450;28473,427;38612,0;28473,427;;;;;;;;;;;
CPLEX;wlp01.dzn;1800;19,44;0;1443,0;28716,0;28713,709091;38465;24950;88150;38465;24950;88150;0,0;105872,0;0,0;28503,211;29960,0;6,03;2;15;205;9;3;;;3
GUROBI;wlp01.dzn;1800;10,41;0;355,0;28716,0;28716,0;57615;44100;126450;38465;24950;88150;26155,5679;42904,0;26155,5679;28482,244;29519,0;6,0;;1;128;5;63;;11;
CBC;wlp01.dzn;1800;1015,51;0;4575;28716,0;28716,0;57615;44100;126450;57615;44100;126450;28473,427;38612,0;28473,427;;;;;;;;;;;
CPLEX;wlp01.dzn;3600;19,09;0;1443,0;28716,0;28713,709091;38465;24950;88150;38465;24950;88150;0,0;105872,0;0,0;28503,211;29960,0;6,0;2;15;205;9;3;;;3
GUROBI;wlp01.dzn;3600;10,28;0;355,0;28716,0;28716,0;57615;44100;126450;38465;24950;88150;26155,5679;42904,0;26155,5679;28482,244;29519,0;6,0;;1;128;5;63;;11;
CBC;wlp01.dzn;3600;1031,13;0;4575;28716,0;28716,0;57615;44100;126450;57615;44100;126450;28473,427;38612,0;28473,427;;;;;;;;;;;
CPLEX;wlp02.dzn;600;600,66;0,61;2433,0;52982,0;52658,448255;343953;197200;737900;343953;197199;737899;0,0;234971,0;0,0;52367,3231;56940,0;54,03;10;21;240;62;34;;;12
GUROBI;wlp02.dzn;600;608,25;0,2304;1529,0;52952,0;52830,0;515753;369000;1081500;343953;197200;737900;49930,2733;81448,0;49930,2733;52426,7048;54294,0;76,0;38;3;209;78;147;1;26;3
CBC;wlp02.dzn;600;674,71;30,686581057665187;0;74447,0;51601,761;515753;369000;1081500;515753;369000;1081500;;;;;;;;;;;;;;
CPLEX;wlp02.dzn;1800;1800,84;0,2;7573,0;52974,0;52868,900406;343953;197200;737900;343953;197199;737899;0,0;234971,0;0,0;52367,3231;56940,0;52,28;11;21;406;70;78;;;12
GUROBI;wlp02.dzn;1800;1061,47;0;4219,0;52952,0;52952,0;515753;369000;1081500;343953;197200;737900;49930,2733;81448,0;49930,2733;52426,7048;54294,0;76,0;53;3;225;83;207;1;29;5
CBC;wlp02.dzn;1800;1898,58;29,73780944833237;0;74447,0;52308,093;515753;369000;1081500;515753;369000;1081500;;;;;;;;;;;;;;
CPLEX;wlp02.dzn;3600;2349,33;0;12666,0;52952,0;52946,727001;343953;197200;737900;343953;197199;737899;0,0;234971,0;0,0;52367,3231;56940,0;51,97;12;21;451;72;94;;;12
GUROBI;wlp02.dzn;3600;1061,34;0;4219,0;52952,0;52952,0;515753;369000;1081500;343953;197200;737900;49930,2733;81448,0;49930,2733;52426,7048;54294,0;74,0;53;3;225;83;207;1;29;5
CBC;wlp02.dzn;3600;3606,93;29,639758485902725;0;74447,0;52381,089;515753;369000;1081500;515753;369000;1081500;;;;;;;;;;;;;;
CPLEX;wlp03.dzn;600;601,88;1,71;821,0;64813,0;63706,009599;1034595;568950;2171850;1034595;568950;2171850;0,0;318359,0;0,0;63591,5608;67742,0;205,3;;38;388;;30;;;21
GUROBI;wlp03.dzn;600;600,67;0,9275;597,0;64472,0;63874,0;1551645;1086000;3205950;1034595;568950;2171850;61010,8388;93730,0;61010,8388;63781,4782;66412,0;297,0;11;1;358;8;154;6;33;
CBC;wlp03.dzn;600;645,77;35,60249627932996;0;94741,0;61010,839;1551645;1086000;3205950;1551645;1086000;3205950;;;;;;;;;;;;;;
CPLEX;wlp03.dzn;1800;1801,97;1,11;2444,0;64688,0;63972,139467;1034595;568950;2171850;1034595;568950;2171850;0,0;318359,0;0,0;63591,5608;67742,0;206,81;19;32;393;76;22;;;17
GUROBI;wlp03.dzn;1800;1800,51;0,6111;1051,0;64472,0;64078,0;1551645;1086000;3205950;1034595;568950;2171850;61010,8388;93730,0;61010,8388;63781,4782;66412,0;296,0;45;6;329;90;203;2;28;2
CBC;wlp03.dzn;1800;1831,2;35,506512684989424;0;94600,0;61010,839;1551645;1086000;3205950;1551645;1086000;3205950;;;;;;;;;;;;;;
CPLEX;wlp03.dzn;3600;3601,81;0,7;3826,0;64496,0;64047,010076;1034595;568950;2171850;1034595;568950;2171850;0,0;318359,0;0,0;63591,5608;67742,0;206,34;20;34;424;79;22;;;17
GUROBI;wlp03.dzn;3600;3600,65;0,2845;3172,0;64333,0;64150,0;1551645;1086000;3205950;1034595;568950;2171850;61010,8388;93730,0;61010,8388;63781,4782;66412,0;297,0;62;6;350;104;307;2;33;5
CBC;wlp03.dzn;3600;4127,83;33,86230338266385;0;94600,0;62566,261;1551645;1086000;3205950;1551645;1086000;3205950;;;;;;;;;;;;;;
CPLEX;wlp04.dzn;600;603,05;6,83;0,0;89952,0;83809,31935;2517479;1354400;5225400;2517479;1354400;5225400;0,0;453403,0;0,0;83809,31935;89952,0;;4;59;458;;24;;;48
GUROBI;wlp04.dzn;600;601,05;4,9894;1,0;88368,0;83959,0;3775879;2612800;7742200;2517479;1354400;5225400;80900,664;126225,0;80900,664;83958,369;88368,0;88,0;3;;425;6;110;;48;
CBC;wlp04.dzn;600;950,09;;0;;80900,664;3775879;2612800;7742200;3775879;2612800;7742200;;;;;;;;;;;;;;
CPLEX;wlp04.dzn;1800;1825,72;1,66;859,0;85286,0;83871,128813;2517479;1354400;5225400;2517479;1354400;5225400;0,0;453403,0;0,0;83810,213;89952,0;675,8;4;55;488;;24;;;46
GUROBI;wlp04.dzn;1800;1801,49;1,0468;743,0;84924,0;84035,0;3775879;2612800;7742200;2517479;1354400;5225400;80900,664;126225,0;80900,664;83958,369;88368,0;631,0;29;7;411;20;149;1;52;2
CBC;wlp04.dzn;1800;2064,02;35,493115601129055;0;125414,0;80900,664;3775879;2612800;7742200;3775879;2612800;7742200;;;;;;;;;;;;;;
CPLEX;wlp04.dzn;3600;3729,88;0,68;1237,0;84861,0;84283,356029;2517479;1354400;5225400;2517479;1354400;5225400;0,0;453403,0;0,0;83810,213;89952,0;678,34;23;51;502;62;31;;;34
GUROBI;wlp04.dzn;3600;3602,93;0,6453;830,0;84919,0;84371,0;3775879;2612800;7742200;2517479;1354400;5225400;80900,664;126225,0;80900,664;;;;;;;;;;;
