solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;1Cap10.txt;120;12,23;0;9088,0;2842,8;2842,5263945;200;7162;14224;199;2820;5541;0,0;34809,5;0,0;2805,7176;2876,0;3,04;79;466;13;10;;47;;37
GUROBI;1Cap10.txt;120;16,17;0;17474,0;2842,8;2842,8;10200;20100;34224;200;7162;14224;2024,5;10592,1;2024,5;2784,40786;2967,9;0,0;56;155;111;32;;118;24;13
CBC;1Cap10.txt;120;119,95;2,3394110034626183;5498;2859,1;2792,2139;10200;20100;34224;200;7162;14224;2792,2139;3177,8;2792,2139;;;;;;;;;;;
CPLEX;1Cap10.txt;300;12,2;0;9088,0;2842,8;2842,5263945;200;7162;14224;199;2820;5541;0,0;34809,5;0,0;2805,7176;2876,0;3,0;79;466;13;10;;47;;37
GUROBI;1Cap10.txt;300;15,96;0;17474,0;2842,8;2842,8;10200;20100;34224;200;7162;14224;2024,5;10592,1;2024,5;2784,40786;2967,9;0,0;56;155;111;32;;118;24;13
CBC;1Cap10.txt;300;240,72;0;11269;2842,8;2842,8;10200;20100;34224;200;7162;14224;2792,2139;3177,8;2792,2139;;;;;;;;;;;
CPLEX;1Cap10.txt;600;11,99;0;9088,0;2842,8;2842,5263945;200;7162;14224;199;2820;5541;0,0;34809,5;0,0;2805,7176;2876,0;3,01;79;466;13;10;;47;;37
GUROBI;1Cap10.txt;600;15,82;0;17474,0;2842,8;2842,8;10200;20100;34224;200;7162;14224;2024,5;10592,1;2024,5;2784,40786;2967,9;0,0;56;155;111;32;;118;24;13
CBC;1Cap10.txt;600;240,31;0;11269;2842,8;2842,8;10200;20100;34224;200;7162;14224;2792,2139;3177,8;2792,2139;;;;;;;;;;;
CPLEX;1Cap20.txt;120;15,3;0;8670,0;2130,4;2130,1890304;200;7162;14224;200;5028;9956;0,0;54990,4;0,0;2064,7737;2348,5;1,98;176;717;19;5;;68;;31
