solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;capa1;120;120,08;2,04;678,0;19242039,629;18849893,563;1100;100100;200100;1100;100100;200100;0,0;208114000,0;0,0;18828400,0;19306200,0;47,36;5;44;3;;6522;;8;;;5;44;3;;8;;;3;;6522;;8;;;5;44;3;;6522;8;;;
GUROBI;capa1;120;120,96;1,0248;1269,0;19240822,44865;19043645,87453;1100;100100;200100;1100;100100;200100;13820000,0;210470000,0;13820000,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CBC;capa1;120;138,37;86,75613030528113;0;139692880,0;18500743,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capa1;300;300,05;1,78;3875,0;19242039,629;18899271,195;1100;100100;200100;1100;100100;200100;0,0;208114000,0;0,0;18828400,0;19306200,0;47,81;5;44;3;;6522;;8;;;5;44;3;;8;;;3;;6522;;8;;;5;44;3;;6522;8;;;
GUROBI;capa1;300;300,09;0,057;1311,0;19240822,44865;19229853,25249;1100;100100;200100;1100;100100;200100;13820000,0;210470000,0;13820000,0;18942000,0;20794000,0;43,0;1;53;8;3;6210;;3;27;14;1;53;8;3;3;27;14;8;3;6210;;3;27;14;1;53;8;3;6210;3;1;27;14
CBC;capa1;300;298,88;86,60770828119514;0;139692880,0;18708078,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capa1;600;600,08;1,69;7525,0;19242039,629;18917486,351;1100;100100;200100;1100;100100;200100;0,0;208114000,0;0,0;18828400,0;19306200,0;47,78;5;44;3;;6466;;15;;;5;44;3;;15;;;3;;6466;;15;;;5;44;3;;6466;15;;;
GUROBI;capa1;600;566,86;0;1486,0;19240822,44865;19240030,58624;1100;100100;200100;1100;100100;200100;13820000,0;210470000,0;13820000,0;18942000,0;20794000,0;43,0;1;39;23;1;4603;;6;17;5;1;39;23;1;6;17;5;23;1;4603;;6;17;5;1;39;23;1;4603;6;4;17;5
CBC;capa1;600;607,12;86,54829365677048;0;139692880,0;18791076,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capa2;120;120,07;6,91;61,0;19207121,139;17880241,49;1100;100100;200100;1100;100100;200100;0,0;208019000,0;0,0;17876000,0;19207100,0;90,03;7;54;2;1;8234;;12;;;7;54;2;1;12;;;2;1;8234;;12;;;7;54;2;1;8234;12;;;
