solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;capa1;120;120,04;2,44;0,0;19291796,701;18821737,309;1100;100100;200100;1100;100100;200100;0,0;210113000,0;0,0;18821700,0;19291800,0;120,02;4251;907;56;;;;1416;;51;4251;907;56;;1416;;51
GUROBI;capa1;120;120,01;4,5011;1186,0;19362143,27066;18490636,85636;1100;100100;200100;1100;100100;200100;13820000,0;120920000,0;13820000,0;18395000,0;21519000,0;45,0;4305;351;;;;;192;53;;4305;351;;;192;53;
CBC;capa1;120;121,4;84,66072811400772;0;120431140,0;18473260,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capa1;300;300,07;2,14;1893,0;19287372,627;18875244,937;1100;100100;200100;1100;100100;200100;0,0;210113000,0;0,0;18821700,0;19291800,0;130,93;4251;907;56;;;;1416;;51;4251;907;56;;1416;;51
GUROBI;capa1;300;300,01;2,3895;1312,0;19287414,55744;18826533,3023;1100;100100;200100;1100;100100;200100;13820000,0;120920000,0;13820000,0;18395000,0;21519000,0;44,0;5474;742;210;9;;;192;49;2;5474;742;210;9;192;49;2
CBC;capa1;300;306,11;84,43532710891884;0;120431140,0;18744713,0;1100;100100;200100;1100;100100;200100;;;;;;;;;;;;;;;;;;;;;;
CPLEX;capa1;600;600,07;2,05;4262,0;19287372,627;18891129,662;1100;100100;200100;1100;100100;200100;0,0;210113000,0;0,0;18821700,0;19291800,0;131,05;4039;925;125;;;;1178;;21;4039;925;125;;1178;;21
GUROBI;capa1;600;600,02;1,6539;3645,0;19242219,97809;18923975,20094;1100;100100;200100;1100;100100;200100;13820000,0;120920000,0;13820000,0;18395000,0;21519000,0;45,0;5948;876;314;12;;;297;55;3;5948;876;314;12;297;55;3
CBC;capa1;600;601,9;84,40056865691051;6;120431140,0;18786573,0;1100;100100;200100;1100;100100;200100;18786573,0;120431140,0;18786573,0;;;;;;;;;;;;;;;;;;;
CPLEX;capa2;120;120,03;3,82;0,0;18584519,053;17874641,704;1100;100100;200100;1100;100100;200100;0,0;210113000,0;0,0;17874641,704;18584500,0;;4984;1112;66;1;;;1777;;60;4984;1112;66;1;1777;;60
