solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;cap61;120;0,03;0;0,0;932615,75;932615,19099;66;815;1615;66;815;1615;0,0;2081353,4375;0,0;932615,191;932615,75;;31;15;;15;;9;;;31;15;;15;2;;9;;
GUROBI;cap61;120;0,02;0;1,0;932615,75;932615,75;66;816;1616;66;815;1615;865538,687;1448513,6;865538,687;927877,825;932615,75;0,0;18;9;;;;2;4;;18;9;;;;;2;4;
CBC;cap61;120;0,06;0;0;932615,7499999999;932615,7499999999;66;816;1616;66;815;1615;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap61;300;0,03;0;0,0;932615,75;932615,19099;66;815;1615;66;815;1615;0,0;2081353,4375;0,0;932615,191;932615,75;;31;15;;15;;9;;;31;15;;15;2;;9;;
GUROBI;cap61;300;0,02;0;1,0;932615,75;932615,75;66;816;1616;66;815;1615;865538,687;1448513,6;865538,687;927877,825;932615,75;0,0;18;9;;;;2;4;;18;9;;;;;2;4;
CBC;cap61;300;0,06;0;0;932615,7499999999;932615,7499999999;66;816;1616;66;815;1615;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap61;600;0,03;0;0,0;932615,75;932615,19099;66;815;1615;66;815;1615;0,0;2081353,4375;0,0;932615,191;932615,75;;31;15;;15;;9;;;31;15;;15;2;;9;;
GUROBI;cap61;600;0,02;0;1,0;932615,75;932615,75;66;816;1616;66;815;1615;865538,687;1448513,6;865538,687;927877,825;932615,75;0,0;18;9;;;;2;4;;18;9;;;;;2;4;
CBC;cap61;600;0,06;0;0;932615,7499999999;932615,7499999999;66;816;1616;66;815;1615;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap62;120;0,04;0;0,0;977799,4;977799,4;66;815;1615;30;89;152;0,0;2156353,4375;0,0;121,0;977799,4;;26;12;;8;;9;;;26;12;;8;2;;9;;
GUROBI;cap62;120;0,03;0;1,0;977799,4;977799,4;66;816;1616;66;815;1615;883917,687;1488513,6;883917,687;977799,4;977799,4;0,0;10;4;;;;2;2;;10;4;;;;;2;2;
CBC;cap62;120;0,07;0;0;977799,3999999999;977799,3999999999;66;816;1616;66;815;1615;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap62;300;0,04;0;0,0;977799,4;977799,4;66;815;1615;30;89;152;0,0;2156353,4375;0,0;121,0;977799,4;;26;12;;8;;9;;;26;12;;8;2;;9;;
GUROBI;cap62;300;0,03;0;1,0;977799,4;977799,4;66;816;1616;66;815;1615;883917,687;1488513,6;883917,687;977799,4;977799,4;0,0;10;4;;;;2;2;;10;4;;;;;2;2;
CBC;cap62;300;0,07;0;0;977799,3999999999;977799,3999999999;66;816;1616;66;815;1615;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap62;600;0,04;0;0,0;977799,4;977799,4;66;815;1615;30;89;152;0,0;2156353,4375;0,0;121,0;977799,4;;26;12;;8;;9;;;26;12;;8;2;;9;;
GUROBI;cap62;600;0,02;0;1,0;977799,4;977799,4;66;816;1616;66;815;1615;883917,687;1488513,6;883917,687;977799,4;977799,4;0,0;10;4;;;;2;2;;10;4;;;;;2;2;
CBC;cap62;600;0,07;0;0;977799,3999999999;977799,3999999999;66;816;1616;66;815;1615;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;cap63;120;0,05;0;0,0;1014099,6125;1014099,6125;66;815;1615;51;298;575;0,0;2231353,4375;0,0;180,0;1014099,6125;0,05;46;19;;13;2;10;;;46;19;;13;3;2;10;;
GUROBI;cap63;120;0,03;0;1,0;1014099,6125;1014099,6125;66;816;1616;66;815;1615;902175,204;1528513,6;902175,204;1013928,73;1014099,61;0,0;8;3;;;;1;3;;8;3;;;;;1;3;
CBC;cap63;120;0,1;0;2;1014099,6125;1014099,6125;66;816;1616;66;815;1615;1013976,9;1014099,6;1013976,9;;;;;;;;;;;;;;;;;;;;
CPLEX;cap63;300;0,05;0;0,0;1014099,6125;1014099,6125;66;815;1615;51;298;575;0,0;2231353,4375;0,0;180,0;1014099,6125;0,05;46;19;;13;2;10;;;46;19;;13;3;2;10;;
GUROBI;cap63;300;0,03;0;1,0;1014099,6125;1014099,6125;66;816;1616;66;815;1615;902175,204;1528513,6;902175,204;1013928,73;1014099,61;0,0;8;3;;;;1;3;;8;3;;;;;1;3;
CBC;cap63;300;0,11;0;2;1014099,6125;1014099,6125;66;816;1616;66;815;1615;1013976,9;1014099,6;1013976,9;;;;;;;;;;;;;;;;;;;;
CPLEX;cap63;600;0,05;0;0,0;1014099,6125;1014099,6125;66;815;1615;51;298;575;0,0;2231353,4375;0,0;180,0;1014099,6125;0,05;46;19;;13;2;10;;;46;19;;13;3;2;10;;
GUROBI;cap63;600;0,03;0;1,0;1014099,6125;1014099,6125;66;816;1616;66;815;1615;902175,204;1528513,6;902175,204;1013928,73;1014099,61;0,0;8;3;;;;1;3;;8;3;;;;;1;3;
CBC;cap63;600;0,11;0;2;1014099,6125;1014099,6125;66;816;1616;66;815;1615;1013976,9;1014099,6;1013976,9;;;;;;;;;;;;;;;;;;;;
CPLEX;cap64;120;0,08;0;0,0;1053197,4375;1053197,4375;66;815;1615;60;413;801;0,0;2343853,4375;0,0;1053197,4375;1053197,4375;0,08;65;30;3;12;;17;;3;65;30;3;12;;;17;;3
GUROBI;cap64;120;0,04;0;1,0;1053197,4375;1053197,4375;66;816;1616;66;815;1615;928920,971;1588513,6;928920,971;1051692,25;1053197,44;0,0;4;4;;6;;1;5;;4;4;;6;;;1;5;
CBC;cap64;120;0,17;0;2;1053197,4375;1053197,4375;66;816;1616;66;815;1615;1052551,2;1053197,4;1052551,2;;;;;;;;;;;;;;;;;;;;
