solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_GUB_COVER;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;p1;120;0,16;0;0,0;8772,0982827;8772,0982827;60;510;1010;60;510;1010;0,0;25046,0568;0,0;8772,0983;8772,0983;0,15;;;4;5;;4;;2;;;4;5;;48;;4;;2;;;4;5;;4;;2;4;5;48;;4;;;2;;4;5;48;;4;;;2
GUROBI;p1;120;0,12;0;1,0;8772,098282671;8772,098282671;60;510;1010;60;510;1010;7553,01171;24340,5809;7553,01171;8772,09828;8772,09828;0,0;;;;3;;;;;;;;3;;40;;;;;;;;3;;;;;;3;40;;;;;;;;3;40;;;;;
CBC;p1;120;0,08;0;0;8772,098282669776;8772,098282669776;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p1;300;0,02;0;0,0;8772,0982827;8772,0982827;60;510;1010;60;510;1010;0,0;25046,0568;0,0;8772,0983;8772,0983;0,02;;;4;5;;4;;2;;;4;5;;48;;4;;2;;;4;5;;4;;2;4;5;48;;4;;;2;;4;5;48;;4;;;2
GUROBI;p1;300;0,01;0;1,0;8772,098282671;8772,098282671;60;510;1010;60;510;1010;7553,01171;24340,5809;7553,01171;8772,09828;8772,09828;0,0;;;;3;;;;;;;;3;;40;;;;;;;;3;;;;;;3;40;;;;;;;;3;40;;;;;
CBC;p1;300;0,03;0;0;8772,098282669776;8772,098282669776;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p1;600;0,03;0;0,0;8772,0982827;8772,0982827;60;510;1010;60;510;1010;0,0;25046,0568;0,0;8772,0983;8772,0983;0,03;;;4;5;;4;;2;;;4;5;;48;;4;;2;;;4;5;;4;;2;4;5;48;;4;;;2;;4;5;48;;4;;;2
GUROBI;p1;600;0,01;0;1,0;8772,098282671;8772,098282671;60;510;1010;60;510;1010;7553,01171;24340,5809;7553,01171;8772,09828;8772,09828;0,0;;;;3;;;;;;;;3;;40;;;;;;;;3;;;;;;3;40;;;;;;;;3;40;;;;;
CBC;p1;600;0,05;0;0;8772,098282669776;8772,098282669776;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p2;120;0,03;0;0,0;7832,5511901;7832,5511901;60;510;1010;60;510;1010;0,0;23732,0568;0,0;87,0;7832,5512;0,03;;;;8;;;;2;;;;8;;43;;;;2;;;;8;;;;2;;8;43;;;;;2;;;8;43;;;;;2
GUROBI;p2;120;0,02;0;1,0;7832,551190123;7832,551190123;60;510;1010;60;510;1010;6788,66442;23026,5809;6788,66442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CBC;p2;120;0,06;0;2;7832,551190122693;7832,551190122693;60;510;1010;60;510;1010;7832,429;7890,6531;7832,429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p2;300;0,03;0;0,0;7832,5511901;7832,5511901;60;510;1010;60;510;1010;0,0;23732,0568;0,0;87,0;7832,5512;0,03;;;;8;;;;2;;;;8;;43;;;;2;;;;8;;;;2;;8;43;;;;;2;;;8;43;;;;;2
