solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_GUB_COVER;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;p1;120;0,03;0;0,0;8848,0;8848,0;60;510;1010;17;42;85;0,0;23446,0;0,0;118,0;8848,0;0,03;7;3;;1;1;;;4;7;3;;1;;1;;;4;7;3;;1;;;1;;;4
GUROBI;p1;120;0,01;0;1,0;8848,0;8848,0;60;510;1010;60;510;1010;7553,01171;14416,0;7553,01171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CBC;p1;120;0,08;0;0;8848,0;8848,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p1;300;0,04;0;0,0;8848,0;8848,0;60;510;1010;17;42;85;0,0;23446,0;0,0;118,0;8848,0;0,03;7;3;;1;1;;;4;7;3;;1;;1;;;4;7;3;;1;;;1;;;4
GUROBI;p1;300;0,01;0;1,0;8848,0;8848,0;60;510;1010;60;510;1010;7553,01171;14416,0;7553,01171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CBC;p1;300;0,08;0;0;8848,0;8848,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p1;600;0,03;0;0,0;8848,0;8848,0;60;510;1010;17;42;85;0,0;23446,0;0,0;118,0;8848,0;0,03;7;3;;1;1;;;4;7;3;;1;;1;;;4;7;3;;1;;;1;;;4
GUROBI;p1;600;0,01;0;1,0;8848,0;8848,0;60;510;1010;60;510;1010;7553,01171;14416,0;7553,01171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CBC;p1;600;0,08;0;0;8848,0;8848,0;60;510;1010;60;510;1010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;p2;120;0,04;0;0,0;7913,0;7913,0;60;510;1010;20;58;114;0,0;22132,0;0,0;114,0;7913,0;0,03;2;3;3;4;1;1;;2;2;3;3;4;;1;1;;2;2;3;3;4;;;1;1;;2
