solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;wlp01.dzn;600;0,71;0;862,0;27971,0;27968,425357;165;5800;11550;165;5800;11550;0,0;111485,0;0,0;27848,0095;28146,0;0,41;;;2;4;;;;9;2;4;166;;;;;9
GUROBI;wlp01.dzn;600;0,43;0;228,0;27971,0;27971,0;165;5800;11550;165;5800;11550;25782,1222;101122,0;25782,1222;27871,2195;28083,0;0,0;;;12;;;50;22;;12;;114;;50;;22;
CBC;wlp01.dzn;600;7,94;0;1069;27971,0;27971,0;165;5800;11550;165;5800;11550;27710,626;37831,0;27710,626;;;;;;;;;;;;;;;;;;;
CPLEX;wlp01.dzn;1800;0,57;0;862,0;27971,0;27968,425357;165;5800;11550;165;5800;11550;0,0;111485,0;0,0;27848,0095;28146,0;0,29;;;2;4;;;;9;2;4;166;;;;;9
GUROBI;wlp01.dzn;1800;0,44;0;228,0;27971,0;27971,0;165;5800;11550;165;5800;11550;25782,1222;101122,0;25782,1222;27871,2195;28083,0;0,0;;;12;;;50;22;;12;;114;;50;;22;
CBC;wlp01.dzn;1800;7,87;0;1069;27971,0;27971,0;165;5800;11550;165;5800;11550;27710,626;37831,0;27710,626;;;;;;;;;;;;;;;;;;;
CPLEX;wlp01.dzn;3600;0,55;0;862,0;27971,0;27968,425357;165;5800;11550;165;5800;11550;0,0;111485,0;0,0;27848,0095;28146,0;0,26;;;2;4;;;;9;2;4;166;;;;;9
GUROBI;wlp01.dzn;3600;0,45;0;228,0;27971,0;27971,0;165;5800;11550;165;5800;11550;25782,1222;101122,0;25782,1222;27871,2195;28083,0;0,0;;;12;;;50;22;;12;;114;;50;;22;
CBC;wlp01.dzn;3600;7,88;0;1069;27971,0;27971,0;165;5800;11550;165;5800;11550;27710,626;37831,0;27710,626;;;;;;;;;;;;;;;;;;;
CPLEX;wlp02.dzn;600;14,05;0;3975,0;51955,0;51949,900652;353;25400;50700;353;25387;50687;0,0;219837,0;0,0;51736,2811;52126,0;2,31;;;3;5;8;169;;2;3;5;258;8;169;;;2
GUROBI;wlp02.dzn;600;2,15;0;330,0;51955,0;51952,0;353;25400;50700;353;25400;50700;49480,3948;230985,0;49480,3948;51848,989;51955,0;1,0;;;2;1;;58;24;;2;1;202;;58;1;24;
CBC;wlp02.dzn;600;210,71;0;12310;51955,0;51955,0;353;25400;50700;353;25400;50700;51648,084;62096,0;51648,084;;;;;;;;;;;;;;;;;;;
CPLEX;wlp02.dzn;1800;13,41;0;3975,0;51955,0;51949,900652;353;25400;50700;353;25387;50687;0,0;219837,0;0,0;51736,2811;52126,0;1,97;;;3;5;8;169;;2;3;5;258;8;169;;;2
GUROBI;wlp02.dzn;1800;2,08;0;330,0;51955,0;51952,0;353;25400;50700;353;25400;50700;49480,3948;230985,0;49480,3948;51848,989;51955,0;1,0;;;2;1;;58;24;;2;1;202;;58;1;24;
CBC;wlp02.dzn;1800;198,5;0;12310;51955,0;51955,0;353;25400;50700;353;25400;50700;51648,084;62096,0;51648,084;;;;;;;;;;;;;;;;;;;
CPLEX;wlp02.dzn;3600;13,23;0;3975,0;51955,0;51949,900652;353;25400;50700;353;25387;50687;0,0;219837,0;0,0;51736,2811;52126,0;1,96;;;3;5;8;169;;2;3;5;258;8;169;;;2
GUROBI;wlp02.dzn;3600;2,06;0;330,0;51955,0;51952,0;353;25400;50700;353;25400;50700;49480,3948;230985,0;49480,3948;51848,989;51955,0;1,0;;;2;1;;58;24;;2;1;202;;58;1;24;
CBC;wlp02.dzn;3600;197,73;0;12310;51955,0;51955,0;353;25400;50700;353;25400;50700;51648,084;62096,0;51648,084;;;;;;;;;;;;;;;;;;;
