solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_NETWORK;cut_info_OUTROS;cut_info_PSD;cut_info_ZERO_HALF
CPLEX;wlp01.dzn;600;15,14;0;1174,0;28716,0;28716,0;38465;24950;88150;38465;24950;88150;0,0;105872,0;0,0;28503,211;29464,0;4,17;;;2;16;11;2;;6;2;16;231;11;2;;;6;2;16;231;11;2;;;;6
GUROBI;wlp01.dzn;600;9,58;0;212,0;28716,0;28716,0;57615;44100;126450;38465;24950;88150;26155,5679;42904,0;26155,5679;28502,5559;28748,0;6,0;;;2;1;3;45;7;;2;1;120;3;45;;7;;2;1;120;3;45;;7;;
CBC;wlp01.dzn;600;598,79;1,0993088837952347;4644;28794,0;28477,465;57615;44100;126450;57615;44100;126450;28472,624;38612,0;28472,624;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;wlp01.dzn;1800;12,72;0;1174,0;28716,0;28716,0;38465;24950;88150;38465;24950;88150;0,0;105872,0;0,0;28503,211;29464,0;3,36;;;2;16;11;2;;6;2;16;231;11;2;;;6;2;16;231;11;2;;;;6
GUROBI;wlp01.dzn;1800;8,03;0;212,0;28716,0;28716,0;57615;44100;126450;38465;24950;88150;26155,5679;42904,0;26155,5679;28502,5559;28748,0;5,0;;;2;1;3;45;7;;2;1;120;3;45;;7;;2;1;120;3;45;;7;;
CBC;wlp01.dzn;1800;620,57;0;5002;28716,0;28716,0;57615;44100;126450;57615;44100;126450;28472,624;38612,0;28472,624;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;wlp01.dzn;3600;12,72;0;1174,0;28716,0;28716,0;38465;24950;88150;38465;24950;88150;0,0;105872,0;0,0;28503,211;29464,0;3,36;;;2;16;11;2;;6;2;16;231;11;2;;;6;2;16;231;11;2;;;;6
GUROBI;wlp01.dzn;3600;8,03;0;212,0;28716,0;28716,0;57615;44100;126450;38465;24950;88150;26155,5679;42904,0;26155,5679;28502,5559;28748,0;5,0;;;2;1;3;45;7;;2;1;120;3;45;;7;;2;1;120;3;45;;7;;
CBC;wlp01.dzn;3600;624,75;0;5002;28716,0;28716,0;57615;44100;126450;57615;44100;126450;28472,624;38612,0;28472,624;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;wlp02.dzn;600;600,63;0,79;4184,0;53085,0;52666,964473;343953;197200;737900;343953;197200;737900;0,0;234971,0;0,0;52367,3231;56940,0;30,79;;;10;24;57;26;;17;10;24;276;57;26;;;17;10;24;276;57;26;;;;17
GUROBI;wlp02.dzn;600;600,07;0,0661;3559,0;52952,0;52917,0;515753;369000;1081500;343953;197200;737900;49930,2733;81448,0;49930,2733;52486,8986;54362,0;71,0;;;74;6;130;200;30;4;74;6;208;130;200;;30;4;74;6;208;130;200;;30;;4
CBC;wlp02.dzn;600;623,92;29,934147782986546;0;74447,0;52161,925;515753;369000;1081500;515753;369000;1081500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;wlp02.dzn;1800;1768,86;0;14958,0;52952,0;52946,73845;343953;197200;737900;343953;197200;737900;0,0;234971,0;0,0;52367,3231;56940,0;29,13;;;17;29;73;110;;18;17;29;470;73;110;;;18;17;29;470;73;110;;;;18
GUROBI;wlp02.dzn;1800;613,56;0;3902,0;52952,0;52952,0;515753;369000;1081500;343953;197200;737900;49930,2733;81448,0;49930,2733;52486,8986;54362,0;70,0;;;74;6;130;200;30;4;74;6;208;130;200;;30;4;74;6;208;130;200;;30;;4
CBC;wlp02.dzn;1800;1800,55;29,583025508079576;0;74447,0;52423,325;515753;369000;1081500;515753;369000;1081500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;wlp02.dzn;3600;1741,75;0;14968,0;52952,0;52946,73845;343953;197200;737900;343953;197200;737900;0,0;234971,0;0,0;52367,3231;56940,0;28,26;;;17;29;72;110;;18;17;29;471;72;110;;;18;17;29;471;72;110;;;;18
GUROBI;wlp02.dzn;3600;615,29;0;3902,0;52952,0;52952,0;515753;369000;1081500;343953;197200;737900;49930,2733;81448,0;49930,2733;52486,8986;54362,0;70,0;;;74;6;130;200;30;4;74;6;208;130;200;;30;4;74;6;208;130;200;;30;;4
CBC;wlp02.dzn;3600;3600,86;29,571671121737612;90;74447,0;52431,778;515753;369000;1081500;515753;369000;1081500;52431,778;74447,0;52431,778;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;wlp03.dzn;600;;;;;;1034595;568950;2171850;1034595;568950;2171850;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUROBI;wlp03.dzn;600;600,37;0,9336;752,0;64484,0;63882,0;1551645;1086000;3205950;1034595;568950;2171850;61010,8388;95137,0;61010,8388;63805,2373;66313,0;218,0;;;8;;10;165;45;;8;;381;10;165;14;45;;8;;381;10;165;14;45;6;
