solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CPLEX;toy.dzn;600;0,01;0;0,0;6901,0;6901,0;14;44;84;14;44;84;0,0;14661,0;0,0;6901,0;6901,0;0,01;6;4;;4;;;;2
GUROBI;toy.dzn;600;0,0;0;1,0;6901,0;6901,0;14;44;84;14;44;84;6335,2;8205,0;6335,2;6335,2;6901,0;0,0;;2;;2;;;1;
CBC;toy.dzn;600;0,01;0;0;6901,0;6901,0;14;44;84;14;44;84;;;;;;;;;;;;;;
CPLEX;toy.dzn;1800;0,01;0;0,0;6901,0;6901,0;14;44;84;14;44;84;0,0;14661,0;0,0;6901,0;6901,0;0,01;6;4;;4;;;;2
GUROBI;toy.dzn;1800;0,0;0;1,0;6901,0;6901,0;14;44;84;14;44;84;6335,2;8205,0;6335,2;6335,2;6901,0;0,0;;2;;2;;;1;
CBC;toy.dzn;1800;0,01;0;0;6901,0;6901,0;14;44;84;14;44;84;;;;;;;;;;;;;;
CPLEX;toy.dzn;3600;0,01;0;0,0;6901,0;6901,0;14;44;84;14;44;84;0,0;14661,0;0,0;6901,0;6901,0;0,01;6;4;;4;;;;2
GUROBI;toy.dzn;3600;0,0;0;1,0;6901,0;6901,0;14;44;84;14;44;84;6335,2;8205,0;6335,2;6335,2;6901,0;0,0;;2;;2;;;1;
CBC;toy.dzn;3600;0,01;0;0;6901,0;6901,0;14;44;84;14;44;84;;;;;;;;;;;;;;
CPLEX;wlp01.dzn;600;1,12;0;433,0;28754,0;28751,265245;165;5800;11550;161;903;1764;0,0;110446,0;0,0;28678,952;28754,0;1,01;50;158;6;11;2;64;;44
GUROBI;wlp01.dzn;600;1,47;0;1814,0;28754,0;28754,0;165;5800;11550;165;5800;11550;25782,1222;66652,0;25782,1222;28571,5411;28754,0;1,0;52;65;;15;;62;36;3
CBC;wlp01.dzn;600;36,56;0;1884;28754,0;28754,0;165;5800;11550;165;5800;11550;28496,569;38661,0;28496,569;;;;;;;;;;;
CPLEX;wlp01.dzn;1800;1,15;0;433,0;28754,0;28751,265245;165;5800;11550;161;903;1764;0,0;110446,0;0,0;28678,952;28754,0;1,02;50;158;6;11;2;64;;44
GUROBI;wlp01.dzn;1800;1,47;0;1814,0;28754,0;28754,0;165;5800;11550;165;5800;11550;25782,1222;66652,0;25782,1222;28571,5411;28754,0;1,0;52;65;;15;;62;36;3
CBC;wlp01.dzn;1800;36,6;0;1884;28754,0;28754,0;165;5800;11550;165;5800;11550;28496,569;38661,0;28496,569;;;;;;;;;;;
CPLEX;wlp01.dzn;3600;1,12;0;433,0;28754,0;28751,265245;165;5800;11550;161;903;1764;0,0;110446,0;0,0;28678,952;28754,0;1,0;50;158;6;11;2;64;;44
GUROBI;wlp01.dzn;3600;1,47;0;1814,0;28754,0;28754,0;165;5800;11550;165;5800;11550;25782,1222;66652,0;25782,1222;28571,5411;28754,0;1,0;52;65;;15;;62;36;3
CBC;wlp01.dzn;3600;36,64;0;1884;28754,0;28754,0;165;5800;11550;165;5800;11550;28496,569;38661,0;28496,569;;;;;;;;;;;
CPLEX;wlp02.dzn;600;260,35;0;207690,0;53354,0;53348,664787;353;25400;50700;352;6696;13303;0,0;232350,0;0,0;53001,4482;54481,0;5,51;94;1258;27;8;;203;;92
GUROBI;wlp02.dzn;600;324,3;0;221501,0;53354,0;53354,0;353;25400;50700;353;25400;50700;49480,3948;146919,0;49480,3948;52820,4382;54359,0;2,0;75;132;183;34;;407;168;6
CBC;wlp02.dzn;600;600,35;10,033175016597722;16735;58743,0;52849,212;353;25400;50700;353;25400;50700;52775,436;74587,0;52775,436;;;;;;;;;;;
CPLEX;wlp02.dzn;1800;259,96;0;207690,0;53354,0;53348,664787;353;25400;50700;352;6696;13303;0,0;232350,0;0,0;53001,4482;54481,0;5,48;94;1258;27;8;;203;;92
GUROBI;wlp02.dzn;1800;324,75;0;221501,0;53354,0;53354,0;353;25400;50700;353;25400;50700;49480,3948;146919,0;49480,3948;52820,4382;54359,0;2,0;75;132;183;34;;407;168;6
CBC;wlp02.dzn;1800;1800,23;9,413651473612065;97289;58360,0;52866,193;353;25400;50700;353;25400;50700;52775,436;74587,0;52775,436;;;;;;;;;;;
CPLEX;wlp02.dzn;3600;259,98;0;207690,0;53354,0;53348,664787;353;25400;50700;352;6696;13303;0,0;232350,0;0,0;53001,4482;54481,0;5,49;94;1258;27;8;;203;;92
GUROBI;wlp02.dzn;3600;323,82;0;221501,0;53354,0;53354,0;353;25400;50700;353;25400;50700;49480,3948;146919,0;49480,3948;52820,4382;54359,0;2,0;75;132;183;34;;407;168;6
CBC;wlp02.dzn;3600;3599,39;9,413651473612065;318888;58360,0;52866,193;353;25400;50700;353;25400;50700;52775,436;74587,0;52775,436;;;;;;;;;;;
CPLEX;wlp03.dzn;600;600,05;0,32;146282,0;64655,0;64445,339137;495;51900;103650;494;21733;43320;0,0;310694,0;0,0;64229,8806;66793,0;10,18;132;889;29;4;4;348;;127
GUROBI;wlp03.dzn;600;600,03;0,3432;120848,0;64694,0;64472,0;495;51900;103650;495;51900;103650;60381,7444;184638,0;60381,7444;64047,609;66832,0;6,0;126;220;263;40;;442;198;24
CBC;wlp03.dzn;600;599,29;31,681729270323945;12288;93658,0;63985,526;495;51900;103650;495;51900;103650;63896,87;93780,0;63896,87;;;;;;;;;;;
CPLEX;wlp03.dzn;1800;1801,34;0,19;384816,0;64654,0;64531,486664;495;51900;103650;494;21733;43320;0,0;310694,0;0,0;64229,8806;66793,0;10,19;137;1512;29;6;4;665;;128
GUROBI;wlp03.dzn;1800;1800,03;0,2119;514156,0;64666,0;64529,0;495;51900;103650;495;51900;103650;60381,7444;184638,0;60381,7444;64047,609;66832,0;6,0;133;417;314;52;;562;334;24
CBC;wlp03.dzn;1800;1800,74;21,2429552418809;76726;81259,0;63997,187;495;51900;103650;495;51900;103650;63896,87;93780,0;63896,87;;;;;;;;;;;
CPLEX;wlp03.dzn;3600;3667,85;0,13;813679,0;64654,0;64571,3612;495;51900;103650;494;21733;43320;0,0;310694,0;0,0;64229,8806;66793,0;10,2;137;1512;29;6;4;665;;128
GUROBI;wlp03.dzn;3600;3600,02;0,1469;993414,0;64654,0;64559,0;495;51900;103650;495;51900;103650;60381,7444;184638,0;60381,7444;64047,609;66832,0;6,0;134;426;323;52;;634;371;24
CBC;wlp03.dzn;3600;3598,9;6,723237137443524;188880;68610,0;63997,187;495;51900;103650;495;51900;103650;63896,87;93780,0;63896,87;;;;;;;;;;;
CPLEX;wlp04.dzn;600;600,13;0,74;29413,0;85674,0;85037,993257;679;96000;191800;679;91286;182372;0,0;438757,0;0,0;84843,7546;88881,0;23,28;167;349;41;21;;359;;213
GUROBI;wlp04.dzn;600;600,02;0,7835;25315,0;85764,0;85092,0;679;96000;191800;679;96000;191800;80431,2468;267235,0;80431,2468;84603,2109;87102,0;19,0;139;226;233;27;;502;223;4
CBC;wlp04.dzn;600;598,98;34,68813028791025;15800;129068,0;84296,724;679;96000;191800;679;96000;191800;84296,724;129068,0;84296,724;;;;;;;;;;;
CPLEX;wlp04.dzn;1800;1801,23;0,43;156020,0;85492,0;85120,819589;679;96000;191800;679;44319;88438;0,0;438757,0;0,0;84843,7546;88881,0;23,13;161;656;36;11;4;380;;162
GUROBI;wlp04.dzn;1800;1800,05;0,5532;74345,0;85681,0;85207,0492945;679;96000;191800;679;96000;191800;80431,2468;267235,0;80431,2468;84603,2109;87102,0;19,0;148;241;278;31;;579;247;23
CBC;wlp04.dzn;1800;1795,46;30,42700824509132;60702;121163,0;84296,724;679;96000;191800;679;96000;191800;84296,724;129068,0;84296,724;;;;;;;;;;;
CPLEX;wlp04.dzn;3600;3601,64;0,39;346004,0;85486,0;85156,018182;679;96000;191800;679;44319;88438;0,0;438757,0;0,0;84843,7546;88881,0;23,3;180;1146;47;12;4;390;;168
GUROBI;wlp04.dzn;3600;3600,04;0,4194;217769,0;85608,0;85249,0;679;96000;191800;679;96000;191800;80431,2468;267235,0;80431,2468;84603,2109;87102,0;19,0;162;260;294;39;;648;284;23
CBC;wlp04.dzn;3600;3589,0;29,518378608874507;129332;119601,0;84296,724;679;96000;191800;679;96000;191800;84296,724;129068,0;84296,724;;;;;;;;;;;
CPLEX;wlp05.dzn;600;600,21;1,23;11014,0;105538,0;104241,48801;851;150500;300750;851;150500;300750;0,0;576584,0;0,0;104087,7929;109239,0;47,09;134;320;58;6;1;448;;259
GUROBI;wlp05.dzn;600;600,01;0,8995;5746,0;105286,0;104339,0;851;150500;300750;851;150500;300750;99030,6619;349298,0;99030,6619;103786,015;108481,0;41,0;137;212;192;15;;429;206;6
CBC;wlp05.dzn;600;597,25;29,47155528786925;7311;146108,0;103047,7;851;150500;300750;851;150500;300750;103047,7;146108,0;103047,7;;;;;;;;;;;
